Descrição dos alimentos;Energia..kcal.;Proteína..g.;Carboidrato..g.;Lipídeos..g.;Fibra.Alimentar..g.
Arroz, integral, cozido;124;2.6;25.8;1;2.7
Arroz, integral, cru;360;7.3;77.5;1.9;4.8
Arroz, tipo 1, cozido;128;2.5;28.1;0.2;1.6
Arroz, tipo 1, cru;358;7.2;78.8;0.3;1.6
Arroz, tipo 2, cozido;130;2.6;28.2;0.4;1.1
Arroz, tipo 2, cru;358;7.2;78.9;0.3;1.7
Aveia, flocos, crua;394;13.9;66.6;8.5;9.1
Biscoito, doce, maisena;443;8.1;75.2;12;2.1
Biscoito, doce, recheado com chocolate;472;6.4;70.5;19.6;3
Biscoito, doce, recheado com morango;471;5.7;71;19.6;1.5
Biscoito, doce, wafer, recheado de chocolate;502;5.6;67.5;24.7;1.8
Biscoito, doce, wafer, recheado de morango;513;4.5;67.4;26.4;0.8
Biscoito, salgado, cream cracker;432;10.1;68.7;14.4;2.5
Bolo, mistura para;419;6.2;84.7;6.1;1.7
Bolo, pronto, aipim;324;4.4;47.9;12.7;0.7
Bolo, pronto, chocolate;410;6.2;54.7;18.5;1.4
Bolo, pronto, coco;333;5.7;52.3;11.3;1.1
Bolo, pronto, milho;311;4.8;45.1;12.4;0.7
Canjica, branca, crua;358;7.2;78.1;1;5.5
Canjica, com leite integral;112;2.4;23.6;1.2;1.2
Cereais, milho, flocos, com sal;370;7.3;80.8;1.6;5.3
Cereais, milho, flocos, sem sal;363;6.9;80.4;1.2;1.8
Cereais, mingau, milho, infantil;394;6.4;87.3;1.1;3.2
Cereais, mistura para vitamina, trigo, cevada e aveia;381;8.9;81.6;2.1;5
Cereal matinal, milho;365;7.2;83.8;1;4.1
Cereal matinal, milho, açúcar;377;4.7;88.8;0.7;2.1
Creme de arroz, pó;386;7;83.9;1.2;1.1
Creme de milho, pó;333;4.8;86.1;1.6;3.7
Curau, milho verde;78;2.4;13.9;1.6;0.5
Curau, milho verde, mistura para;402;2.2;79.8;13.4;2.5
Farinha, de arroz, enriquecida;363;1.3;85.5;0.3;0.6
Farinha, de centeio, integral;336;12.5;73.3;1.8;15.5
Farinha, de milho, amarela;351;7.2;79.1;1.5;5.5
Farinha, de rosca;371;11.4;75.8;1.5;4.8
Farinha, de trigo;360;9.8;75.1;1.4;2.3
Farinha, láctea, de cereais;415;11.9;77.8;5.8;1.9
Lasanha, massa fresca, cozida;164;5.8;32.5;1.2;1.6
Lasanha, massa fresca, crua;220;7;45.1;1.3;1.6
Macarrão, instantâneo;436;8.8;62.4;17.2;5.6
Macarrão, trigo, cru;371;10;77.9;1.3;2.9
Macarrão, trigo, cru, com ovos;371;10.3;76.6;2;2.3
Milho, amido, cru;361;0.6;87.1;1E-05;0.7
Milho, fubá, cru;353;7.2;78.9;1.9;4.7
Milho, verde, cru;138;6.6;28.6;0.6;3.9
Milho, verde, enlatado, drenado;98;3.2;17.1;2.4;4.6
Mingau tradicional, pó;373;0.6;89.3;0.4;0.9
Pamonha, barra para cozimento, pré-cozida;171;2.6;30.7;4.8;2.4
Pão, aveia, forma;343;12.4;59.6;5.7;6
Pão, de soja;309;11.3;56.5;3.6;5.7
Pão, glúten, forma;253;12;44.1;2.7;2.5
Pão, milho, forma;292;8.3;56.4;3.1;4.3
Pão, trigo, forma, integral;253;9.4;49.9;3.7;6.9
Pão, trigo, francês;300;8;58.6;3.1;2.3
Pão, trigo, sovado;311;8.4;61.5;2.8;2.4
Pastel, de carne, cru;289;10.7;42;8.8;1
Pastel, de carne, frito;388;10.1;43.8;20.1;1
Pastel, de queijo, cru;308;9.9;45.9;9.6;1.1
Pastel, de queijo, frito;422;8.7;48.1;22.7;0.9
Pastel, massa, crua;310;6.9;57.4;5.5;1.4
Pastel, massa, frita;570;6;49.3;40.9;1.3
Pipoca, com óleo de soja, sem sal;448;9.9;70.3;15.9;14.3
Polenta, pré-cozida;103;2.3;23.3;0.3;2.4
Torrada, pão francês;377;10.5;74.6;3.3;3.4
Abóbora, cabotian, cozida;48;1.4;10.8;0.7;2.5
Abóbora, cabotian, crua;39;1.7;8.4;0.5;2.2
Abóbora, menina brasileira, crua;14;0.6;3.3;1E-05;1.2
Abóbora, moranga, crua;12;1;2.7;0.1;1.7
Abóbora, moranga, refogada;29;0.4;6;0.8;1.5
Abóbora, pescoço, crua;24;0.7;6.1;0.1;2.3
Abobrinha, italiana, cozida;15;1.1;3;0.2;1.6
Abobrinha, italiana, crua;19;1.1;4.3;0.1;1.4
Abobrinha, italiana, refogada;24;1.1;4.2;0.8;1.4
